Episode,Steps,Score,Coins,TotalReward,Epsilon,DurationSecs
0,1,0,4,-9.90,1.0000,0.7
1,1,1000028,4,-9.88,0.9999,1.0
2,1,1000030,5,-9.88,0.9998,0.7
3,1,1000032,5,-9.88,0.9997,1.1
4,1,1000033,5,-9.90,0.9996,1.0
5,1,1000040,5,-9.78,0.9995,1.0
6,1,1000040,5,-9.90,0.9994,1.0
7,1,1000042,5,-9.88,0.9993,1.0
8,1,1000042,5,-9.90,0.9992,1.1
9,1,1000044,5,-9.88,0.9991,0.6
10,1,1000094,5,-9.90,0.9990,0.6
