Episode,Steps,Score,Coins,TotalReward,Epsilon,DurationSecs
0,1,15000034,0,-9.90,1.0000,0.9
3,1,15000034,0,-9.90,0.9999,1.5
4,1,15000034,0,-9.90,0.9998,1.5
7,1,15000034,0,-9.90,0.9997,1.5
8,1,15000034,0,-9.90,0.9996,1.5
11,1,15000034,0,-9.90,0.9995,0.9
14,1,15000034,0,-9.90,0.9994,1.5
17,1,15000034,0,-9.90,0.9993,1.5
18,1,15000034,0,-9.90,0.9992,1.5
21,1,15000034,0,-9.90,0.9991,1.5
24,1,15000035,0,-9.89,0.9990,0.9
27,1,15000035,0,-9.90,0.9989,1.4
28,1,15000035,0,-9.90,0.9988,1.4
31,1,15000035,0,-9.90,0.9987,1.5
34,1,15000035,0,-9.90,0.9986,1.4
35,1,15000035,0,-9.90,0.9985,1.4
36,1,15000035,0,-9.90,0.9984,1.5
37,1,15000035,0,-9.90,0.9983,1.5
38,1,15000034,0,-9.90,0.9982,1.5
39,1,15000034,0,-9.90,0.9981,1.5
40,1,15000034,0,-9.90,0.9980,1.5
41,1,15000034,0,-9.90,0.9979,1.4
42,1,15000034,0,-9.90,0.9978,1.5
43,1,15000034,0,-9.90,0.9977,1.5
46,1,15000034,0,-9.90,0.9976,1.5
49,1,15000034,0,-9.90,0.9975,1.5
