Episode,Steps,Score,Coins,TotalReward,Epsilon,DurationSecs
0,1,41,0,-9.60,1.0000,1.1
1,1,51,50,-9.90,0.9999,1.1
2,1,71,50,-9.70,0.9998,1.1
3,1,118,50,-9.70,0.9997,1.1
4,1,118,50,-9.90,0.9996,0.7
5,1,118,50,-9.90,0.9995,1.1
6,1,129,50,-9.70,0.9994,1.1
7,1,139,50,-9.90,0.9993,1.1
8,1,150,50,-9.70,0.9992,1.1
9,1,150,50,-9.90,0.9991,1.1
