Episode,Steps,Score,Coins,TotalReward,Epsilon,DurationSecs
0,1,1000053,0,-9.84,1.0000,1.5
1,1,1000043,0,-9.85,0.9999,1.5
2,1,1000053,0,-9.84,0.9998,1.5
3,1,1000063,0,-9.85,0.9997,1.0
6,1,1000053,0,-9.90,0.9996,1.5
7,1,1000045,0,-9.85,0.9995,0.9
8,1,1000052,0,-9.84,0.9994,1.5
11,1,1800053,0,-9.63,0.9993,1.5
12,1,1800053,0,-9.90,0.9992,0.9
13,1,1800053,0,-9.90,0.9991,1.5
16,1,1800053,0,-9.90,0.9990,1.5
17,1,1800053,0,-9.90,0.9989,1.5
20,1,1800053,0,-9.90,0.9988,1.5
21,1,1800063,0,-9.90,0.9987,1.4
22,1,1800073,0,-9.90,0.9986,0.9
25,1,1800073,0,-9.90,0.9985,0.9
26,1,1800073,0,-9.90,0.9984,1.5
27,1,1800083,0,-9.90,0.9983,1.5
30,1,1800083,0,-9.90,0.9982,1.5
31,1,1800083,0,-9.90,0.9981,1.0
32,1,1800093,0,-9.90,0.9980,1.5
35,1,1800103,0,-9.90,0.9979,1.5
36,1,1800123,0,-9.85,0.9978,1.5
37,1,1800133,0,-9.90,0.9977,1.4
38,1,1800133,0,-9.90,0.9976,1.4
39,1,1800133,0,-9.90,0.9975,0.9
42,1,1800133,0,-9.90,0.9974,1.5
45,1,1800133,0,-9.90,0.9973,0.9
46,1,1800133,0,-9.90,0.9972,1.4
47,1,1800143,0,-9.85,0.9971,1.4
50,1,1800143,0,-9.90,0.9970,0.9
53,1,1800143,0,-9.90,0.9969,1.5
56,1,1800153,0,-9.90,0.9968,1.4
57,1,1800153,0,-9.90,0.9967,1.4
58,1,1800163,0,-9.90,0.9966,1.5
61,1,1800163,0,-9.90,0.9965,1.5
62,1,1800163,0,-9.90,0.9964,1.5
65,1,1800163,0,-9.90,0.9963,1.5
66,1,1800163,0,-9.90,0.9962,1.5
67,1,1800173,0,-9.90,0.9961,0.9
68,1,1800173,4,-9.90,0.9960,1.5
69,1,1800183,4,-9.90,0.9959,1.5
70,1,1800193,4,-9.85,0.9959,1.5
73,1,1800193,4,-9.90,0.9958,0.9
76,1,1800193,4,-9.90,0.9957,1.5
79,1,1800193,4,-9.90,0.9956,1.5
80,1,1800193,4,-9.90,0.9955,1.0
83,1,1800193,4,-9.90,0.9954,1.0
86,1,1800193,4,-9.90,0.9953,1.5
87,1,1800193,4,-9.90,0.9952,1.5
88,1,1800203,4,-9.85,0.9951,1.5
91,1,1800203,4,-9.90,0.9950,1.5
94,1,1800203,4,-9.90,0.9949,1.5
95,1,1800213,4,-9.90,0.9948,1.5
96,1,1800213,4,-9.90,0.9947,1.5
97,1,1800213,4,-9.90,0.9946,1.5
98,1,1800213,4,-9.90,0.9945,1.0
99,1,1800223,5,-8.85,0.9944,1.5
