Episode,Steps,Score,Coins,TotalReward,Epsilon,DurationSecs
2,1,1000221,0,-9.85,1.0000,0.9
3,1,1000221,4,-9.90,0.9999,1.5
4,1,1000221,4,-9.90,0.9998,1.4
7,1,1000221,4,-9.90,0.9997,1.4
8,1,1000231,4,-9.90,0.9996,0.9
11,1,1000231,4,-9.90,0.9995,1.4
14,1,1000241,4,-9.90,0.9994,0.9
15,1,1000241,4,-9.90,0.9993,1.4
16,1,1000241,4,-9.90,0.9992,1.5
17,1,1000241,4,-9.90,0.9991,1.4
18,1,1000241,4,-9.90,0.9990,1.4
21,1,1000251,4,-9.85,0.9989,1.4
22,1,1000251,4,-9.90,0.9988,1.4
23,1,1000251,4,-9.90,0.9987,1.4
26,1,1000271,4,-9.85,0.9986,1.5
